EmployeeID,FirstName,LastName,Email,DepartmentID,Salary,JoinDate
101,John,Doe,JohnDoe@example.com,1,66000,2022-01-15
102,Jane,Smith,JaneSmith@example.com,2,55000,2021-05-20
103,Michael,Johnson,MichaelJohnson@example.com,1,62000,2023-03-10
104,Emily,Williams,EmilyWilliams@example.com,3,58000,2022-11-02
105,David,Brown,DavidBrown@example.com,2,54000,2021-09-18
106,Sarah,Anderson,SarahAnderson@example.com,1,63000,2023-02-05
107,James,Janes,JamesJanes@example.com,3,59000,2022-07-14
108,Linda,Davis,LindaDavis@example.com,2,56000,2021-12-30
109,Robert,MIller,RobertMIller@example.com,1,61000,2023-04-25
110,Karen,Wilson,KarenWilson@example.com,3,57000,2022-08-09
101,John,Doe,JohnDoe@example.com,1,60000,2022-01-15
102,Jane,Smith,JaneSmith@example.com,2,55000,2021-05-20
103,Michael,Johnson,MichaelJohnson@example.com,1,62000,2023-03-10
104,Emily,Williams,EmilyWilliams@example.com,3,58000,2022-11-02
105,David,Brown,DavidBrown@example.com,2,55000,2021-09-18
